METHOD,URI,NAME,ACTION
DELETE,gebruikers/{gebruiker},admin.gebruikers.destroy,"App\Http\Controllers\Admin\UserController@destroy"
PATCH,albums/{album}/koppel/{foto},admin.album.attach,"App\Http\Controllers\Admin\AlbumController@attach"
PATCH,albums/{album}/ontkoppel/{foto},admin.album.detach,"App\Http\Controllers\Admin\AlbumController@detach"
GET,fotos,admin.fotos.index,"App\Http\Controllers\Admin\PhotoController@index"
GET,fotos/nieuw,admin.fotos.create,"App\Http\Controllers\Admin\PhotoController@create"
POST,fotos,admin.fotos.store,"App\Http\Controllers\Admin\PhotoController@store"
GET,fotos/{foto},admin.fotos.show,"App\Http\Controllers\Admin\PhotoController@show"
GET,fotos/{foto}/bewerken,admin.fotos.edit,"App\Http\Controllers\Admin\PhotoController@edit"
PUT,fotos/{foto},admin.fotos.update,"App\Http\Controllers\Admin\PhotoController@update"
DELETE,fotos/{foto},admin.fotos.destroy,"App\Http\Controllers\Admin\PhotoController@destroy"
GET,logboeken,admin.log.index,"App\Http\Controllers\Admin\LogController@index"
GET,logboeken/{log},admin.log.show,"App\Http\Controllers\Admin\LogController@show"
GET,r,,Closure
